dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-07-05 17:08:50,31065,232808,2017-07-05T17:08:50,82,16,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-06 17:00:15,31115,232808,2017-07-06T17:00:15,87,1,11,0,1,high quality,Sentinel-1 Sentinel-2
2017-07-09 17:24:28,31192,232808,2017-07-09T17:24:28,86,12,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-10 17:16:54,31269,232808,2017-07-10T17:16:54,92,6,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-11 17:08:08,31337,232808,2017-07-11T17:08:08,88,9,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-14 17:32:34,31386,232808,2017-07-14T17:32:34,81,17,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-15 17:25:19,31463,232808,2017-07-15T17:25:19,88,11,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-07-16 17:16:18,31540,232808,2017-07-16T17:16:18,87,1,9,0,3,high quality,Sentinel-1 Sentinel-2
2017-07-17 17:08:50,31609,232808,2017-07-17T17:08:50,73,25,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-20 17:33:25,31659,232808,2017-07-20T17:33:25,80,17,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-21 17:24:30,31736,232808,2017-07-21T17:24:30,89,9,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-22 17:16:56,31813,232808,2017-07-22T17:16:56,93,6,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-07-23 17:08:09,31881,232808,2017-07-23T17:08:09,90,7,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-26 17:32:34,31930,232808,2017-07-26T17:32:34,79,19,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-07-27 17:25:19,32007,232808,2017-07-27T17:25:19,89,8,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-28 17:16:18,32084,232808,2017-07-28T17:16:18,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
